date	time	score	task	groupings	test_targets	model	layers	layer_aggregation	subword_aggregation	dataset.name	dataset.version	dataset.path	preprocessing.module	preprocessing.method	cleaning.method	measure.module	measure.method	measure.clustering.module	measure.clustering.method	evaluation.task	evaluation.binary_threshold.module	evaluation.binary_threshold.method	evaluation.binary_threshold.params.t	clustering.module	clustering.method	truncation.tokens_before
2022-09-04	20:12:47	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:20:11	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:11:35	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:03:59	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1	src/cluster_model.py		
2022-09-04	19:36:51	0.7214502113100114	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd_merge_all			change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:23:03	0.7380017542057076	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:08:31	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	19:38:24	0.7214502113100114	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd_merge_all			change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:24:27	0.7635179845833893	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
2022-09-04	20:23:46	0.7380017542057076	lscd	[1, 2]		dccuchile/bert-base-spanish-wwm-cased	[1, -1]	average	average	dwug_es	4.0.0		src/preprocessing.py	tokenize	all	src/measures.py	cluster_jsd	src/clustering.py	clustering_spectral	change_graded	src/threshold.py	mean_std	0.1			
